Strike,Type,Symbol,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew",Time
1050,Call,2756.8,123.22%,0.99884340909346,1.1265583332636E-23,-1.5710773627215E-20,1.0849752146345E-19,+98.71%,03/21/22
1050,Put,0.1,79.59%,0,1.1265583332636E-23,-1.5710773627215E-20,1.0849752146345E-19,+55.08%,03/21/22
1100,Call,2706.8,118.81%,0.99884340909346,2.8185912755418E-22,-3.9422775975453E-19,2.7145524415845E-18,+94.30%,03/21/22
1100,Put,0.1,76.78%,0,2.8185912755418E-22,-3.9422775975453E-19,2.7145524415845E-18,+52.27%,03/21/22
1150,Call,2656.7,114.37%,0.99884340909346,5.4752067932078E-21,-7.6794535934833E-18,5.2731079165868E-17,+89.86%,03/21/22
1150,Put,0.1,74.10%,0,5.4752067932078E-21,-7.6794535934833E-18,5.2731079165868E-17,+49.59%,03/21/22
1200,Call,2606.7,110.37%,0.99884340909346,8.4763086267027E-20,-1.1920639230669E-16,8.1634341516281E-16,+85.86%,03/21/22
1200,Put,0.2,75.51%,0,8.4763086267027E-20,-1.1920639230669E-16,8.1634341516281E-16,+51.00%,03/21/22
1250,Call,2556.7,106.54%,0.99884340909346,1.0696681482925E-18,-1.5081945066305E-15,1.0301849398417E-14,+82.03%,03/21/22
1250,Put,0.2,72.93%,-1.1089389507706E-16,1.0696681482925E-18,-1.5081945066305E-15,1.0301849398417E-14,+48.42%,03/21/22
1300,Call,2506.7,102.86%,0.99884340909346,1.1221160094477E-17,-1.5872856692221E-14,1.0806968642879E-13,+78.36%,03/21/22
1300,Put,0.3,72.88%,-7.7625726553945E-16,1.1221160094477E-17,-1.5848210903814E-14,1.0806968642879E-13,+48.38%,03/21/22
1350,Call,2456.7,99.34%,0.99884340909346,9.9541624916648E-17,-1.4133171410301E-13,9.5867380028284E-13,+74.83%,03/21/22
1350,Put,0.3,70.42%,-6.6536337046239E-15,9.9541624916648E-17,-1.4073124644758E-13,9.5867380028284E-13,+45.91%,03/21/22
1400,Call,2406.7,95.95%,0.99884340909341,7.5800599107763E-16,-1.0788580529823E-12,7.3002674480353E-12,+71.44%,03/21/22
1400,Put,0.4,69.80%,-5.212013068622E-14,7.5800599107763E-16,-1.0739621452403E-12,7.3002674480353E-12,+45.29%,03/21/22
1450,Call,2356.7,92.68%,0.99884340909311,5.0210296862553E-15,-7.1628581814412E-12,4.8356952327088E-11,+68.18%,03/21/22
1450,Put,0.5,68.86%,-3.5663476656784E-13,5.0210296862553E-15,-7.1289382120229E-12,4.8356952327088E-11,+44.35%,03/21/22
